"","Country.Name","Country.Code","MMR_Level","AFR_Level","Growth_Level","Participation_Level","PC_Level","Savings_Level","HIVW_Level","HIV_Total_Level","Edu_Level","MMR_Level_score","AFR_Level_score","Growth_Level_score","Participation_Level_score","PC_Level_score","Savings_Level_score","HIVW_Level_score","HIV_Total_Level_score","Edu_Level_score","composite_score","weighted_score","score_group","weighted_group"
"1","Afghanistan","AFG","High MMR","High AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",1,1,1,1,1,2,3,3,1,1.55555555555556,1.3,"Low","Low"
"2","Afghanistan","AFG","High MMR","High AFR","Low growth","Low participation","Low GDPpc","Medium savings","Low share","Low prevalence","Low education",1,1,1,1,1,2,3,3,1,1.55555555555556,1.3,"Low","Low"
"3","Africa Eastern and Southern","AFE","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,1,1,3,1,2,1,1,1,1.44444444444444,1.5,"Low","Low"
"4","Africa Eastern and Southern","AFE","Medium MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",2,1,1,3,1,2,1,1,1,1.44444444444444,1.5,"Low","Low"
"5","Africa Western and Central","AFW","High MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",1,1,1,3,1,2,1,1,1,1.33333333333333,1.3,"Low","Low"
"6","Africa Western and Central","AFW","High MMR","High AFR","Low growth","High participation","Low GDPpc","Medium savings","High share","High prevalence","Low education",1,1,1,3,1,2,1,1,1,1.33333333333333,1.3,"Low","Low"
"7","Albania","ALB","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"8","Albania","ALB","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"9","Algeria","DZA","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",3,3,1,1,1,3,2,3,1,2,1.95,"Low","Medium"
"10","Algeria","DZA","Low MMR","Low AFR","Low growth","Low participation","Low GDPpc","High savings","Medium share","Low prevalence","Low education",3,3,1,1,1,3,2,3,1,2,1.95,"Low","Medium"
"11","American Samoa","ASM","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"12","American Samoa","ASM","Low MMR","Low AFR","Low growth","Medium participation","Low GDPpc","Medium savings","Low share","Low prevalence","Medium education",3,3,1,2,1,2,3,3,2,2.22222222222222,2.1,"Medium","Medium"
"13","Andorra","AND","Low MMR","Low AFR","Low growth","High participation","Medium GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,1,3,2,3,3,3,2,2.55555555555556,2.45,"High","High"
"14","Andorra","AND","Low MMR","Low AFR","Low growth","Medium participation","Medium GDPpc","High savings","Low share","Low prevalence","Medium education",3,3,1,2,2,3,3,3,2,2.44444444444444,2.35,"High","High"
"15","Angola","AGO","Medium MMR","High AFR","Medium growth","High participation","Low GDPpc","High savings","High share","Low prevalence","Low education",2,1,2,3,1,3,1,3,1,1.88888888888889,1.85,"Low","Low"
