"Country","Year","MMR"
"Belarus",2010,3
"Belarus",2011,2
"Belarus",2012,2
"Belarus",2013,2
"Belarus",2014,2
"Belarus",2015,1
"Belarus",2016,1
"Belarus",2017,1
"Belarus",2018,1
"Belarus",2019,1
"Belarus",2020,2
"Belarus",2021,2
"Belarus",2022,1
"Belarus",2023,1
"Chad",2010,1284
"Chad",2011,1264
"Chad",2012,1245
"Chad",2013,1216
"Chad",2014,1198
"Chad",2015,1176
"Chad",2016,1133
"Chad",2017,1085
"Chad",2018,1020
"Chad",2019,958
"Chad",2020,877
"Chad",2021,869
"Chad",2022,775
"Chad",2023,748
"Eswatini",2010,752
"Eswatini",2011,765
"Eswatini",2012,613
"Eswatini",2013,491
"Eswatini",2014,369
"Eswatini",2015,283
"Eswatini",2016,213
"Eswatini",2017,151
"Eswatini",2018,133
"Eswatini",2019,96
"Eswatini",2020,102
"Eswatini",2021,219
"Eswatini",2022,112
"Eswatini",2023,118
"Gabon",2010,144
"Gabon",2011,149
"Gabon",2012,173
"Gabon",2013,235
"Gabon",2014,273
"Gabon",2015,239
"Gabon",2016,215
"Gabon",2017,184
"Gabon",2018,176
"Gabon",2019,179
"Gabon",2020,194
"Gabon",2021,249
"Gabon",2022,216
"Gabon",2023,233
"Lesotho",2010,1311
"Lesotho",2011,1210
"Lesotho",2012,1000
"Lesotho",2013,855
"Lesotho",2014,707
"Lesotho",2015,594
"Lesotho",2016,518
"Lesotho",2017,468
"Lesotho",2018,491
"Lesotho",2019,467
"Lesotho",2020,529
"Lesotho",2021,577
"Lesotho",2022,477
"Lesotho",2023,478
"Nigeria",2010,1094
"Nigeria",2011,1108
"Nigeria",2012,1124
"Nigeria",2013,1146
"Nigeria",2014,1155
"Nigeria",2015,1168
"Nigeria",2016,1155
"Nigeria",2017,1142
"Nigeria",2018,1118
"Nigeria",2019,1091
"Nigeria",2020,1065
"Nigeria",2021,1046
"Nigeria",2022,1016
"Nigeria",2023,993
"Norway",2010,4
"Norway",2011,4
"Norway",2012,3
"Norway",2013,3
"Norway",2014,2
"Norway",2015,2
"Norway",2016,2
"Norway",2017,2
"Norway",2018,2
"Norway",2019,2
"Norway",2020,2
"Norway",2021,2
"Norway",2022,3
"Norway",2023,1
"Sierra Leone",2010,1018
"Sierra Leone",2011,967
"Sierra Leone",2012,915
"Sierra Leone",2013,842
"Sierra Leone",2014,821
"Sierra Leone",2015,730
"Sierra Leone",2016,633
"Sierra Leone",2017,578
"Sierra Leone",2018,491
"Sierra Leone",2019,464
"Sierra Leone",2020,422
"Sierra Leone",2021,403
"Sierra Leone",2022,370
"Sierra Leone",2023,354
"Venezuela, RB",2010,110
"Venezuela, RB",2011,104
"Venezuela, RB",2012,113
"Venezuela, RB",2013,123
"Venezuela, RB",2014,133
"Venezuela, RB",2015,136
"Venezuela, RB",2016,162
"Venezuela, RB",2017,195
"Venezuela, RB",2018,205
"Venezuela, RB",2019,202
"Venezuela, RB",2020,207
"Venezuela, RB",2021,251
"Venezuela, RB",2022,219
"Venezuela, RB",2023,227
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2010,144.8
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2011,118.8
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2012,174.2
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2013,227.8
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2014,249.8
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2015,254.4
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2016,268.4
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2017,254.8
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2018,241.8
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2019,278.8
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2020,237.6
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2021,259.2
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2022,209.6
"Middle East, North Africa, Afghanistan & Pakistan (IDA & IBRD)",2023,227.6
