Country Name,Series Name,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",893,838,810,778,755,741,702,659,629,601,634,660,551,521
Afghanistan,GDP per capita (constant 2015 US$),542.871030476037,525.42698276582,568.929021458341,580.603833333096,575.146245808546,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306,408.625855217403,377.665627080705,379.707497269884
Afghanistan,"Life expectancy at birth, total (years)",60.702,61.25,61.735,62.188,62.26,62.27,62.646,62.406,62.443,62.941,61.454,60.417,65.617,66.035
Albania,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",9,9,10,10,10,9,8,8,7,7,7,14,8,7
Albania,GDP per capita (constant 2015 US$),3577.11432498868,3678.04770145146,3736.34007957648,3780.69919254096,3855.76074409659,3952.80357364813,4090.37272829183,4249.8200493985,4431.55559506989,4542.26866282892,4417.04105105395,4858.05201500931,5154.8274975368,5419.63779125273
Albania,"Life expectancy at birth, total (years)",78.414,78.303,78.084,77.995,78.029,78.358,78.643,78.9,79.238,79.467,77.824,76.844,78.769,79.602
Algeria,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",82,81,81,81,80,79,79,77,75,73,97,79,64,62
Algeria,GDP per capita (constant 2015 US$),4456.61027416201,4501.35430135827,4518.4397895726,4543.23444004859,4634.10149183949,4685.05902729002,4768.73140080218,4742.90075536604,4717.00358853556,4672.66408682198,4363.68533766912,4456.74687641147,4544.46688059647,4660.40545686886
Algeria,"Life expectancy at birth, total (years)",74.144,74.383,74.609,74.809,74.992,75.159,75.31,75.431,75.555,75.682,73.257,75.208,76.129,76.261
Andorra,"Maternal mortality ratio (modeled estimate, per 100,000 live births)",12,11,11,9,10,10,10,11,11,11,48,18,17,11
