Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
"Adolescent fertility rate (births per 1,000 women ages 15-19)",OTHER,Afghanistan,AFG,154.31,152.471,150.161,143.75,136.93,130.838,121.635,117.754,118.979,109.655,105.648,101.659,95.245,89.337,84.069,81.043,78.13,75.3,73.021,70.967,68.877,66.599,65.339,64.068,42.4052
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Afghanistan,AFG,4.104323629345916,-9.4319740700862,28.6000011706788,8.83227780288267,1.41411799339429,11.2297148272859,5.35740324748592,13.8263195471281,3.92498381999467,21.3905283926492,14.3624414710737,0.426354776777345,12.7522870926697,5.60074465863221,2.72454336219565,1.45131466066431,2.26031420279821,2.6470032027451,1.18922812944517,3.91160341625552,-2.35110067203466,-20.7388393676343,-6.24017199240269,2.71088679128353,0.18918516748543013
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Afghanistan,AFG,308.318269746638,277.118051443941,338.139973643387,346.071627096223,338.637273888197,363.640141436773,367.75831169358,410.757728879097,417.647282647498,488.830652491949,542.871030476037,525.42698276582,568.929021458341,580.603833333096,575.146245808546,565.569730408751,563.872336723147,562.769574140988,553.125151688293,557.861533207459,527.834554499306,408.625855217403,377.665627080705,379.707497269884,2450.2159721468
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Afghanistan,AFG,14.741,14.638,14.591,14.593,14.645,14.746,14.902,15.128,15.412,15.728,16.065,16.402,16.732,17.733,18.77,19.842,20.952,22.104,20.62,19.062,17.076,15.194,5.372,5.369,5.317
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Afghanistan,AFG,1372,1311,1263,1201,1166,1108,1069,1032,955,925,893,838,810,778,755,741,702,659,629,601,634,660,551,521,59.6
Gross savings (% of GDP),OTHER,Afghanistan,AFG,27.212940756611893,17.244539270284612,33.60096008489362,18.670881137267166,20.97475898450142,37.38511090185734,28.24202552842216,34.31482056054626,17.974111248286405,37.65197817795672,35.18496721072702,30.950736500535342,38.81803024678722,26.22584113048104,13.895166140331945,17.861208476421222,23.04561276905456,26.04157157647272,26.45929687224182,21.75906923355878,-2.73776944122657,17.0844236984149,17.65788904712748,27.28066147753122,29.552712422098622
"Adolescent fertility rate (births per 1,000 women ages 15-19)",OTHER,Africa Eastern and Southern,AFE,123.976237718609,124.164420091379,122.665294811491,120.718814338209,120.148753974498,118.822939653886,117.176749755108,115.165815365545,114.197539284159,111.963698881469,110.81434129781,110.483799066179,108.512370285828,106.821270647567,106.280004007349,103.784094581628,101.266398602231,99.2944286821449,98.082042012069,97.1897867960092,95.7413392620295,94.6595133310708,93.379388849822,92.305667630291,89.19606813027202
GDP growth (annual %),NY.GDP.MKTP.KD.ZG,Africa Eastern and Southern,AFE,3.21494609894005,3.50572646872058,3.83607799272289,2.95624126239153,5.55539685526702,6.16338004310481,6.57787371800826,6.6470209952772,4.36818668473381,0.870983963603962,5.23163580247818,4.06494136637873,1.74687118542336,4.34145784484548,3.99286255244824,3.00493689926236,2.19476089054338,2.68454305378005,2.66663182841025,2.19431852727669,-2.86429251059897,4.57639280212381,3.5538783639465,2.32013780158925,1.918300920713188
GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,Africa Eastern and Southern,AFE,1196.89512926095,1207.19700449299,1221.23962370701,1224.83925722882,1259.18113849332,1301.71923382969,1350.79588075011,1402.32817312956,1424.25967703716,1397.87315417454,1431.32479234312,1450.05166056896,1436.17300830714,1457.90149624789,1475.66554498481,1479.56412348117,1472.63060373892,1472.73478268631,1471.2250330059,1463.13954875332,1383.37781834824,1408.86083752216,1421.58972754715,1418.3637366532,5172.675344578412
"Labor force participation rate, female (% of female population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.FE.ZS,Africa Eastern and Southern,AFE,67.8046991214996,67.8137580763513,67.8822896703489,67.9551238327906,67.9882627557436,68.0278608109277,67.8728678603493,67.6356636516971,67.3845322778779,67.0165295872601,66.3135142123049,66.8808504433915,66.7441226807912,66.7095270251435,65.7103117939453,65.2545667517087,64.669928320386,63.9325125515011,63.3653609302762,62.8751075573022,61.1721002793863,61.7596597695991,61.9797237623756,65.7647055998058,65.6204281125448
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,Africa Eastern and Southern,AFE,612,586,564,537,516,510,505,505,503,491,476,457,433,419,409,394,376,354,327,308,290,312,269,268,449.4
