dataset,year,observations,non_missing,missing,completion_rate,unique_countries,unique_series
Gender Statistics,2000,1865,1495,370,80.16,274,17
Gender Statistics,2001,1865,1504,361,80.64,274,17
Gender Statistics,2002,1865,1499,366,80.38,274,17
Gender Statistics,2003,1865,1501,364,80.48,274,17
Gender Statistics,2004,1865,1517,348,81.34,274,17
Gender Statistics,2005,1865,1524,341,81.72,274,17
Gender Statistics,2006,1865,1536,329,82.36,274,17
Gender Statistics,2007,1865,1539,326,82.52,274,17
Gender Statistics,2008,1865,1547,318,82.95,274,17
Gender Statistics,2009,1865,1558,307,83.54,274,17
Gender Statistics,2010,1865,1593,272,85.42,274,17
Gender Statistics,2011,1865,1595,270,85.52,274,17
Gender Statistics,2012,1865,1592,273,85.36,274,17
Gender Statistics,2013,1865,1594,271,85.47,274,17
Gender Statistics,2014,1865,1609,256,86.27,274,17
Gender Statistics,2015,1865,1607,258,86.17,274,17
Gender Statistics,2016,1865,1604,261,86.01,274,17
Gender Statistics,2017,1865,1618,247,86.76,274,17
Gender Statistics,2018,1865,1617,248,86.7,274,17
Gender Statistics,2019,1865,1627,238,87.24,274,17
Gender Statistics,2020,1865,1598,267,85.68,274,17
Gender Statistics,2021,1865,1608,257,86.22,274,17
Gender Statistics,2022,1865,1603,262,85.95,274,17
Gender Statistics,2023,1865,1511,354,81.02,274,17
Gender Statistics,2024,1865,460,1405,24.66,274,17
World Development,2000,7450,4514,2936,60.59,268,29
World Development,2001,7450,4335,3115,58.19,268,29
World Development,2002,7450,4333,3117,58.16,268,29
World Development,2003,7450,4364,3086,58.58,268,29
World Development,2004,7450,4416,3034,59.28,268,29
World Development,2005,7450,4474,2976,60.05,268,29
World Development,2006,7450,4514,2936,60.59,268,29
World Development,2007,7450,4507,2943,60.5,268,29
World Development,2008,7450,4528,2922,60.78,268,29
World Development,2009,7450,4585,2865,61.54,268,29
World Development,2010,7450,4736,2714,63.57,268,29
World Development,2011,7450,4867,2583,65.33,268,29
World Development,2012,7450,4663,2787,62.59,268,29
World Development,2013,7450,4616,2834,61.96,268,29
World Development,2014,7450,4692,2758,62.98,268,29
World Development,2015,7450,4637,2813,62.24,268,29
World Development,2016,7450,4663,2787,62.59,268,29
World Development,2017,7450,4634,2816,62.2,268,29
World Development,2018,7450,4707,2743,63.18,268,29
World Development,2019,7450,4658,2792,62.52,268,29
World Development,2020,7450,4545,2905,61.01,268,29
World Development,2021,7450,4604,2846,61.8,268,29
World Development,2022,7450,4229,3221,56.77,268,29
World Development,2023,7450,3331,4119,44.71,268,29
World Development,2024,7450,1626,5824,21.83,268,29
